City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Nizhnyaya Poyma,RU,2022-02-01 22:58:29,56.1622,97.1933,-8.45,100,70,2.24
125,Sola,VU,2022-02-01 22:58:30,-13.8833,167.55,81.3,77,93,15.7
126,Westport,US,2022-02-01 22:57:41,41.1415,-73.3579,34.83,69,78,3.0
127,Rio Gallegos,AR,2022-02-01 22:58:30,-51.6226,-69.2181,59.05,26,40,34.52
128,West Bay,KY,2022-02-01 22:58:31,19.3667,-81.4167,81.07,79,20,5.99
129,Macklin,CA,2022-02-01 22:58:31,52.3334,-109.9348,-2.87,91,91,12.01
130,Ganzhou,CN,2022-02-01 22:58:32,28.8184,115.4327,36.28,97,100,7.36
131,Ottumwa,US,2022-02-01 22:58:32,41.02,-92.4113,33.21,71,100,8.99
132,Lavrentiya,RU,2022-02-01 22:58:32,65.5833,-171.0,1.92,78,15,17.67
133,Caravelas,BR,2022-02-01 22:58:33,-17.7125,-39.2481,78.78,86,65,7.07
134,Findlay,US,2022-02-01 22:58:33,41.0442,-83.6499,44.78,82,99,13.2
135,Jamestown,US,2022-02-01 22:58:34,42.097,-79.2353,36.95,10,96,14.79
136,Constanta,RO,2022-02-01 22:58:34,44.1833,28.65,36.7,94,100,8.23
137,Camacha,PT,2022-02-01 22:58:35,33.0833,-16.3333,62.53,82,20,18.41
138,Thunder Bay,CA,2022-02-01 22:55:43,48.4001,-89.3168,19.38,63,75,18.41
139,Luena,AO,2022-02-01 22:59:35,-11.7833,19.9167,61.12,94,52,1.63
140,Salalah,OM,2022-02-01 22:59:36,17.0151,54.0924,67.77,56,45,2.55
141,Yerbogachen,RU,2022-02-01 22:59:36,61.2767,108.0108,-30.1,100,39,1.28
142,Kainan,JP,2022-02-01 22:59:37,34.15,135.2,43.0,72,70,5.19
143,Tiksi,RU,2022-02-01 22:55:22,71.6872,128.8694,-11.18,97,100,5.23
144,Batagay-Alyta,RU,2022-02-01 22:59:38,67.8006,130.4114,-10.7,100,100,1.3
145,Jardim,BR,2022-02-01 22:58:28,-21.4803,-56.1381,79.79,59,75,5.75
146,Atuona,PF,2022-02-01 22:59:39,-9.8,-139.0333,78.35,77,13,20.31
147,Quatre Cocos,MU,2022-02-01 22:59:39,-20.2078,57.7625,80.1,92,100,30.36
148,Zhangye,CN,2022-02-01 22:59:40,38.9342,100.4517,18.05,33,88,2.57
149,Torbay,CA,2022-02-01 22:59:40,47.6666,-52.7314,24.58,58,40,13.8
150,Ixtapa,MX,2022-02-01 22:59:40,20.7,-105.2,76.23,71,0,7.0
151,Huari,PE,2022-02-01 22:59:41,-9.3333,-77.2333,50.41,69,100,3.2
152,Tromso,NO,2022-02-01 22:59:41,69.6496,18.957,15.82,67,0,4.61
153,Severo-Kurilsk,RU,2022-02-01 22:59:42,50.6789,156.125,28.58,78,86,11.23
154,Bambous Virieux,MU,2022-02-01 22:59:42,-20.3428,57.7575,80.22,100,75,18.41
155,Hovd,MN,2022-02-01 22:59:42,48.0056,91.6419,-6.25,91,100,0.94
156,Vostok,RU,2022-02-01 22:59:43,46.4856,135.8833,-7.4,99,100,4.23
